raw_id,cleaned,scientific_name,collection_id
Debaryomyces_prosopidis_JCM9913,Debaryomyces prosopidis JCM9913,Debaryomyces prosopidis,JCM9913
Debaryomyces_fabryi_CBS789,Debaryomyces fabryi CBS789,Debaryomyces fabryi,CBS789
A38,A38,A38,
Debaryomyces_vindobonensis_CBS11666,Debaryomyces vindobonensis CBS11666,Debaryomyces vindobonensis,CBS11666
Debaryomyces_hansenii_JCM1990,Debaryomyces hansenii JCM1990,Debaryomyces hansenii,JCM1990
Debaryomyces_psychrosporus_CBS11845,Debaryomyces psychrosporus CBS11845,Debaryomyces psychrosporus,CBS11845
Debaryomyces_nepalensis_JCM2095,Debaryomyces nepalensis JCM2095,Debaryomyces nepalensis,JCM2095
Candida_psychrophila_CBS5956,Candida psychrophila CBS5956,Candida psychrophila,CBS5956
Debaryomyces_coudertii_CBS,Debaryomyces coudertii CBS,Debaryomyces coudertii,CBS
Debaryomyces_renaii_ATCCMYA-4749,Debaryomyces renaii ATCCMYA-4749,Debaryomyces renaii,ATCCMYA-4749
Debaryomyces_maramus_CBS1958,Debaryomyces maramus CBS1958,Debaryomyces maramus,CBS1958
Debaryomyces_robertsiae_CBS2934,Debaryomyces robertsiae CBS2934,Debaryomyces robertsiae,CBS2934
Debaryomyces_udenii_JCM7855,Debaryomyces udenii JCM7855,Debaryomyces udenii,JCM7855
Debaryomyces_udenii_CBS7056,Debaryomyces udenii CBS7056,Debaryomyces udenii,CBS7056
Debaryomyces_macquariensis_CBS5572,Debaryomyces macquariensis CBS5572,Debaryomyces macquariensis,CBS5572
Saccharomyces_cerevisiae_CBS1171,Saccharomyces cerevisiae CBS1171,Saccharomyces cerevisiae,CBS1171
